순위,상품번호,구분,도서명,저자,출판사,출간일,할인율,판매가,정가,포인트,판매지수,평점,배송정보,출간연도,출간월,평점_수치,종이책_리뷰_수,eBook_리뷰_수,종이책_한줄평_수,eBook_한줄평_수,총_리뷰_수
226,192468427,만화,너를 사랑하는 살인귀 1,아키야마 엔마 글그림,YNKMEDIA,2026년 06월,10,5400,6000.0,300,2970,,,2026,6,,0.0,0.0,0.0,0.0,0.0
227,191817199,만화,슈퍼 뒤에서 담배 피우는 두 사람 8 특별판,지누시 글그림/김성래 역,디앤씨미디어(D&C미디어),2026년 06월,10,23400,26000.0,1300,35982,,,2026,6,,0.0,0.0,0.0,0.0,0.0
228,189855227,도서,혼자서도 잘하는 한글 단어 쓰기 100 2권,길벗놀이학습연구소 글/김희정 그림,길벗스쿨,2026년 05월,10,7650,8500.0,420,10956,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (29건) eBook 리뷰 (0건) 종이책 한줄평 (0건) eBook 한줄평 (0건),,2026,5,10.0,29.0,0.0,0.0,0.0,29.0
229,189850868,도서,설민석의 한국사 대모험 37,"설민석, 남이담 글/정현희 그림/강석화 감수",단꿈아이,2026년 05월,10,14400,16000.0,800,42468,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (43건) eBook 리뷰 (0건) 종이책 한줄평 (115건) eBook 한줄평 (0건),,2026,5,9.9,43.0,0.0,115.0,0.0,158.0
230,189658085,만화,향기로운 꽃은 늠름하게 핀다 20 더블특전판,미카미 사카 글그림,대원,2026년 05월,10,5400,6000.0,300,47313,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (14건) eBook 리뷰 (0건) 종이책 한줄평 (29건) eBook 한줄평 (0건),,2026,5,9.8,14.0,0.0,29.0,0.0,43.0
231,188187996,도서,2026 김건호 헌법 찐합격노트,김건호 편저,(주)박영사,2026년 05월,0,35000,35000.0,1050,10716,리뷰 총점8.9 정보 더 보기/감추기 종이책 리뷰 (3건) eBook 리뷰 (0건) 종이책 한줄평 (5건) eBook 한줄평 (1건),,2026,5,8.9,3.0,0.0,5.0,1.0,9.0
232,188173768,도서,가짜 환자,김현아 저,창비,2026년 04월,10,16200,18000.0,900,16092,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (15건) eBook 리뷰 (0건) 종이책 한줄평 (3건) eBook 한줄평 (0건),,2026,4,9.7,15.0,0.0,3.0,0.0,18.0
233,187951535,도서,다시 오고 싶은 나라,전형주 저,새빛,2026년 05월,10,17100,19000.0,950,35526,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (22건) eBook 리뷰 (0건) 종이책 한줄평 (37건) eBook 한줄평 (0건),,2026,5,10.0,22.0,0.0,37.0,0.0,59.0
234,169651351,도서,11일에 완성하는 서경석의 다이어트 한국사능력검정시험 심화(1·2·3급),서경석 저/김유선 감수,다락원,2026년 01월,10,18000,20000.0,1000,41514,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (32건) eBook 리뷰 (0건) 종이책 한줄평 (26건) eBook 한줄평 (0건),,2026,1,9.8,32.0,0.0,26.0,0.0,58.0
235,168642454,도서,2026 시대에듀 한국실용글쓰기 실제 기출로 끝내기,"이원근, 김슬옹 편저",시대에듀,2026년 02월,10,18000,20000.0,1000,41367,리뷰 총점9.2 정보 더 보기/감추기 종이책 리뷰 (29건) eBook 리뷰 (1건) 종이책 한줄평 (14건) eBook 한줄평 (1건),,2026,2,9.2,29.0,1.0,14.0,1.0,45.0
236,167502878,도서,2026 위포트 공기업 NCS 통합기본서 (PSAT형+모듈형+피듈형+실전 모의고사),위포트 연구소 저,위포트,2026년 02월,10,24300,27000.0,1350,45405,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (215건) eBook 리뷰 (0건) 종이책 한줄평 (16건) eBook 한줄평 (0건),,2026,2,9.9,215.0,0.0,16.0,0.0,231.0
237,162366854,도서,해커스 Updated 토플 리딩 (Hackers Updated TOEFL READING),"해커스 어학연구소, David Cho 저",해커스어학연구소,2025년 11월,10,26100,29000.0,1450,51225,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (15건) eBook 리뷰 (0건) 종이책 한줄평 (8건) eBook 한줄평 (0건),,2025,11,10.0,15.0,0.0,8.0,0.0,23.0
238,122103181,도서,최민준의 아들코칭 백과,최민준 저,위즈덤하우스,2023년 08월,10,16920,18800.0,940,31752,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (115건) eBook 리뷰 (4건) 종이책 한줄평 (105건) eBook 한줄평 (8건),,2023,8,9.9,115.0,4.0,105.0,8.0,232.0
239,119700269,도서,아몬드 (청소년판),손원평 저,다즐링,2023년 07월,10,15120,16800.0,840,94356,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (93건) eBook 리뷰 (0건) 종이책 한줄평 (97건) eBook 한줄평 (0건),,2023,7,9.6,93.0,0.0,97.0,0.0,190.0
240,106211628,도서,"어서 오세요, 휴남동 서점입니다",황보름 저,클레이하우스,2022년 01월,10,13500,15000.0,750,21693,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (219건) eBook 리뷰 (210건) 종이책 한줄평 (342건) eBook 한줄평 (412건),,2022,1,9.4,219.0,210.0,342.0,412.0,1183.0
241,105853213,도서,한 권으로 끝내는 해커스 토익 700+ (LC+RC+VOCA),해커스 어학연구소 저,해커스어학연구소,2025년 01월,10,17820,19800.0,990,66825,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (110건) eBook 리뷰 (3건) 종이책 한줄평 (100건) eBook 한줄평 (4건),,2025,1,9.6,110.0,3.0,100.0,4.0,217.0
242,105526047,도서,물고기는 존재하지 않는다,룰루 밀러 저/정지인 역,곰출판,2021년 12월,10,15300,17000.0,850,65808,리뷰 총점9.0 정보 더 보기/감추기 종이책 리뷰 (512건) eBook 리뷰 (93건) 종이책 한줄평 (665건) eBook 한줄평 (434건),,2021,12,9.0,512.0,93.0,665.0,434.0,1704.0
243,103495056,도서,작별하지 않는다,한강 저,문학동네,2021년 09월,10,15120,16800.0,840,138840,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (890건) eBook 리뷰 (271건) 종이책 한줄평 (968건) eBook 한줄평 (441건),,2021,9,9.6,890.0,271.0,968.0,441.0,2570.0
244,102791425,도서,홍학의 자리,정해연 저,엘릭시르,2026년 03월,10,12600,14000.0,700,95082,리뷰 총점9.2 정보 더 보기/감추기 종이책 리뷰 (305건) eBook 리뷰 (171건) 종이책 한줄평 (346건) eBook 한줄평 (357건),,2026,3,9.2,305.0,171.0,346.0,357.0,1179.0
245,79297023,도서,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),데일 카네기 저/임상훈 역,현대지성,2019년 10월,10,10350,11500.0,580,139554,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (526건) eBook 리뷰 (12건) 종이책 한줄평 (529건) eBook 한줄평 (22건),,2019,10,9.6,526.0,12.0,529.0,22.0,1089.0
246,29078325,도서,할머니의 여름휴가,안녕달 글그림,창비,2016년 07월,10,14220,15800.0,790,25113,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (91건) eBook 리뷰 (0건) 종이책 한줄평 (154건) eBook 한줄평 (0건),,2016,7,9.7,91.0,0.0,154.0,0.0,245.0
247,6157159,도서,노인과 바다,어네스트 밀러 헤밍웨이 저/김욱동 역,민음사,2012년 01월,10,7200,8000.0,400,57636,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (131건) eBook 리뷰 (24건) 종이책 한줄평 (185건) eBook 한줄평 (39건),,2012,1,9.5,131.0,24.0,185.0,39.0,379.0
248,192292257,도서,서른의 불안을 다루는 법,김용하 저,헤이북스,2026년 07월,10,18000,20000.0,1000,6300,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (1건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (0건),,2026,7,10.0,1.0,0.0,1.0,0.0,2.0
249,191855277,도서,피클의 사주명리 실전,조재렬 저,책과나무,2026년 06월,10,25200,28000.0,1400,2232,,,2026,6,,0.0,0.0,0.0,0.0,0.0
250,191182412,도서,슈퍼 코딱지 히어로 1,박세랑 글그림,FIKAJUNIOR(피카주니어),2026년 06월,10,15120,16800.0,840,3540,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (3건) eBook 리뷰 (0건) 종이책 한줄평 (4건) eBook 한줄평 (0건),,2026,6,10.0,3.0,0.0,4.0,0.0,7.0
251,190876600,도서,달러 역설,오태민 저,헤리티지북스,2026년 06월,10,25200,28000.0,1400,31617,,,2026,6,,0.0,0.0,0.0,0.0,0.0
252,189818905,도서,하네스 엔지니어링 with 클로드 코드,황민호 저,한빛미디어,2026년 06월,10,27000,30000.0,1500,20961,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (2건) eBook 리뷰 (1건) 종이책 한줄평 (7건) eBook 한줄평 (0건),,2026,6,9.8,2.0,1.0,7.0,0.0,10.0
253,189508919,도서,다잇소 잡화점,박현숙 글/박혜림 그림,창비교육,2026년 05월,10,12600,14000.0,700,12324,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (89건) eBook 리뷰 (0건) 종이책 한줄평 (129건) eBook 한줄평 (0건),,2026,5,10.0,89.0,0.0,129.0,0.0,218.0
254,189430821,도서,2026 이유진 군무원 국어 화제의 모의고사,이유진 편저,고시동네,2026년 05월,10,18000,20000.0,200,15561,리뷰 총점6.0 정보 더 보기/감추기 종이책 리뷰 (0건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (0건),,2026,5,6.0,0.0,0.0,1.0,0.0,1.0
255,182424060,도서,박태웅의 AI 강의 2026,박태웅 저,한빛비즈,2026년 03월,10,20700,23000.0,1150,70389,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (64건) eBook 리뷰 (0건) 종이책 한줄평 (28건) eBook 한줄평 (2건),,2026,3,9.7,64.0,0.0,28.0,2.0,94.0
256,171435916,도서,개소리에 대하여,해리 G. 프랭크퍼트 저/이윤 역,필로소픽,2026년 01월,10,9000,10000.0,500,12600,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (1건) eBook 리뷰 (0건) 종이책 한줄평 (2건) eBook 한줄평 (0건),,2026,1,9.3,1.0,0.0,2.0,0.0,3.0
257,162987037,도서,정승제의 수학 대모험 1,"설민석, 조영선 글/최진규, 박지영 그림/정승제 감수",단꿈아이,2025년 11월,10,14400,16000.0,800,54345,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (56건) eBook 리뷰 (0건) 종이책 한줄평 (141건) eBook 한줄평 (0건),,2025,11,9.9,56.0,0.0,141.0,0.0,197.0
258,128266166,도서,너에게 들려주는 단단한 말,김종원 저,퍼스트펭귄,2024년 07월,10,16200,18000.0,900,143577,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (158건) eBook 리뷰 (0건) 종이책 한줄평 (215건) eBook 한줄평 (2건),,2024,7,9.8,158.0,0.0,215.0,2.0,375.0
259,126646941,도서,행복의 기원,서은국 저,21세기북스,2024년 05월,10,19800,22000.0,1100,54831,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (94건) eBook 리뷰 (3건) 종이책 한줄평 (77건) eBook 한줄평 (78건),,2024,5,9.6,94.0,3.0,77.0,78.0,252.0
260,122758298,도서,영혼이 강한 아이로 키워라,조선미 저,북하우스,2023년 10월,10,15750,17500.0,870,34704,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (63건) eBook 리뷰 (0건) 종이책 한줄평 (29건) eBook 한줄평 (1건),,2023,10,9.9,63.0,0.0,29.0,1.0,93.0
261,72158875,도서,페인트,이희영 저,창비,2019년 04월,10,13500,15000.0,750,48591,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (214건) eBook 리뷰 (0건) 종이책 한줄평 (313건) eBook 한줄평 (1건),,2019,4,9.5,214.0,0.0,313.0,1.0,528.0
262,44499829,도서,노르웨이의 숲,무라카미 하루키 저/양억관 역,민음사,2017년 08월,10,15300,17000.0,850,87573,리뷰 총점9.2 정보 더 보기/감추기 종이책 리뷰 (196건) eBook 리뷰 (30건) 종이책 한줄평 (378건) eBook 한줄평 (83건),,2017,8,9.2,196.0,30.0,378.0,83.0,687.0
263,11081680,도서,자본주의,"EBS 〈자본주의〉제작팀, 정지은, 고희정 저/EBS MEDIA 기획",가나출판사,2013년 09월,10,19800,22000.0,1100,90762,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (262건) eBook 리뷰 (43건) 종이책 한줄평 (393건) eBook 한줄평 (343건),,2013,9,9.5,262.0,43.0,393.0,343.0,1041.0
264,192110553,도서,비트스플릿,"박성현, 임수현, 젯셋캣 저",모루,2026년 06월,10,18900,21000.0,1050,18444,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (0건) eBook 리뷰 (0건) 종이책 한줄평 (2건) eBook 한줄평 (0건),,2026,6,10.0,0.0,0.0,2.0,0.0,2.0
265,192088560,만화,마남 이치 5 트리플 특전판,니시 오사무 원저/시로 우사자키 글그림/유유리 역,서울미디어코믹스(서울문화사),2026년 06월,10,6300,7000.0,350,16827,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (1건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (0건),,2026,6,10.0,1.0,0.0,1.0,0.0,2.0
266,192026591,도서,네모로직 탐정단 1,"이람이, 김경래 글/지은 그림",다산어린이,2026년 06월,10,12600,14000.0,700,6252,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (6건) eBook 리뷰 (0건) 종이책 한줄평 (0건) eBook 한줄평 (0건),,2026,6,10.0,6.0,0.0,0.0,0.0,6.0
267,191941801,도서,2026 스티마 면접 지방직(경기도 부록편),스티마 편저,(주)박영사,2026년 06월,0,17000,17000.0,510,2400,,,2026,6,,0.0,0.0,0.0,0.0,0.0
268,191889270,도서,성공 투자를 위한 최소한의 반도체 지식,무니 인사이트(박성문) 저,한국경제신문,2026년 06월,10,19800,22000.0,1100,12102,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (1건) eBook 리뷰 (0건) 종이책 한줄평 (23건) eBook 한줄평 (0건),,2026,6,9.9,1.0,0.0,23.0,0.0,24.0
269,191707917,도서,2027 PMAA EDU 경찰실무종합 오함마 요약집,오현웅 저,경찰공제회,2026년 06월,0,30000,30000.0,0,7038,,,2026,6,,0.0,0.0,0.0,0.0,0.0
270,191531566,도서,전생했더니 슬라임이었던 건에 대하여 23 한정판,후세 저/밋츠바 그림/이소정 역,소미미디어,2026년 06월,10,29700,33000.0,1650,13464,,,2026,6,,0.0,0.0,0.0,0.0,0.0
271,189795609,도서,수국 찻집,김지안 글그림,창비,2026년 05월,10,15120,16800.0,840,17466,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (24건) eBook 리뷰 (0건) 종이책 한줄평 (1건) eBook 한줄평 (0건),,2026,5,10.0,24.0,0.0,1.0,0.0,25.0
272,189753703,도서,내 친구의 모든 점,박혜성 글그림,FIKAJUNIOR(피카주니어),2026년 05월,10,15120,16800.0,840,18294,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (15건) eBook 리뷰 (0건) 종이책 한줄평 (3건) eBook 한줄평 (0건),,2026,5,10.0,15.0,0.0,3.0,0.0,18.0
273,189521501,도서,"골드 휴먼, AI 시대의 새로운 생존법과 부의 철학",재이 저,북바이북,2026년 05월,10,18000,20000.0,1000,14697,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (29건) eBook 리뷰 (0건) 종이책 한줄평 (2건) eBook 한줄평 (0건),,2026,5,9.3,29.0,0.0,2.0,0.0,31.0
274,187507612,도서,흔한남매 과학 탐험대 17 뇌와 호르몬,"흔한남매 원저/김언정, 송은경 글/김덕영 그림/권경아 감수",주니어김영사,2026년 04월,10,15120,16800.0,840,48873,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (25건) eBook 리뷰 (0건) 종이책 한줄평 (22건) eBook 한줄평 (0건),,2026,4,10.0,25.0,0.0,22.0,0.0,47.0
275,185891630,도서,"끝까지 해 보자, 때밀이 장갑!",유설화 글그림,책읽는곰,2026년 04월,10,13500,15000.0,750,36393,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (32건) eBook 리뷰 (0건) 종이책 한줄평 (8건) eBook 한줄평 (0건),,2026,4,10.0,32.0,0.0,8.0,0.0,40.0
276,185705970,도서,다정한 사람이 이긴다 (스페셜 리커버),이해인 저,필름,2026년 04월,10,17100,19000.0,950,152820,리뷰 총점9.2 정보 더 보기/감추기 종이책 리뷰 (99건) eBook 리뷰 (2건) 종이책 한줄평 (52건) eBook 한줄평 (77건),,2026,4,9.2,99.0,2.0,52.0,77.0,230.0
277,184277605,도서,부의 사다리에 올라타라,닉 매기울리 저/박슬라 역,알에이치코리아(RHK),2026년 04월,10,20700,23000.0,1150,55533,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (16건) eBook 리뷰 (1건) 종이책 한줄평 (6건) eBook 한줄평 (0건),,2026,4,9.8,16.0,1.0,6.0,0.0,23.0
278,183755495,도서,다크 심리학 2,다크 사이드 프로젝트 저,어센딩,2026년 04월,10,21780,24200.0,1210,41016,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (51건) eBook 리뷰 (0건) 종이책 한줄평 (6건) eBook 한줄평 (0건),,2026,4,9.9,51.0,0.0,6.0,0.0,57.0
279,174971616,도서,명상록,마르쿠스 아우렐리우스 저/그레고리 헤이스 해제/정미화 역,오아시스,2026년 01월,10,16200,18000.0,900,22422,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (40건) eBook 리뷰 (0건) 종이책 한줄평 (3건) eBook 한줄평 (0건),,2026,1,10.0,40.0,0.0,3.0,0.0,43.0
280,174904384,만화,원피스 ONE PIECE 113,오다 에이이치로 글그림,대원,2026년 01월,10,5850,6500.0,320,50418,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (55건) eBook 리뷰 (13건) 종이책 한줄평 (95건) eBook 한줄평 (25건),,2026,1,9.9,55.0,13.0,95.0,25.0,188.0
281,169849422,도서,"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이","안익재, 황의태 저",앤써북,2025년 12월,10,17820,19800.0,990,41040,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (47건) eBook 리뷰 (0건) 종이책 한줄평 (46건) eBook 한줄평 (0건),,2025,12,10.0,47.0,0.0,46.0,0.0,93.0
282,145361149,도서,연매장,팡팡 저/문현선 역,문학동네,2025년 04월,10,15750,17500.0,870,25044,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (30건) eBook 리뷰 (2건) 종이책 한줄평 (37건) eBook 한줄평 (8건),,2025,4,9.6,30.0,2.0,37.0,8.0,77.0
283,143612443,도서,저스트.킵.바잉.,닉 매기울리 저/오수원 역/이상건 감수,서삼독,2025년 03월,10,22500,25000.0,1250,34200,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (107건) eBook 리뷰 (2건) 종이책 한줄평 (99건) eBook 한줄평 (16건),,2025,3,9.4,107.0,2.0,99.0,16.0,224.0
284,134602629,도서,넥서스,유발 하라리 저/김명주 역,김영사,2024년 10월,10,25020,27800.0,1390,110805,리뷰 총점9.2 정보 더 보기/감추기 종이책 리뷰 (160건) eBook 리뷰 (14건) 종이책 한줄평 (234건) eBook 한줄평 (38건),,2024,10,9.2,160.0,14.0,234.0,38.0,446.0
285,125557465,도서,하루 한 장 나의 어휘력을 위한 필사 노트,유선경 저,위즈덤하우스,2024년 10월,10,21420,23800.0,1190,193962,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (434건) eBook 리뷰 (0건) 종이책 한줄평 (476건) eBook 한줄평 (0건),,2024,10,9.5,434.0,0.0,476.0,0.0,910.0
286,117389523,도서,레버리지,롭 무어 저/김유미 역,다산북스,2023년 02월,10,16200,18000.0,900,54075,리뷰 총점9.1 정보 더 보기/감추기 종이책 리뷰 (136건) eBook 리뷰 (9건) 종이책 한줄평 (181건) eBook 한줄평 (95건),,2023,2,9.1,136.0,9.0,181.0,95.0,421.0
287,107517263,도서,해커스 JLPT(일본어능력시험)기출단어장 N5-N3,해커스 JLPT 연구소 저,해커스어학연구소,2024년 07월,10,12510,13900.0,690,68712,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (39건) eBook 리뷰 (0건) 종이책 한줄평 (58건) eBook 한줄평 (0건),,2024,7,9.8,39.0,0.0,58.0,0.0,97.0
288,91887697,도서,여름,이디스 워튼 저/김욱동 역,민음사,2020년 08월,10,10800,12000.0,600,44229,리뷰 총점9.1 정보 더 보기/감추기 종이책 리뷰 (51건) eBook 리뷰 (24건) 종이책 한줄평 (80건) eBook 한줄평 (31건),,2020,8,9.1,51.0,24.0,80.0,31.0,186.0
289,42798224,도서,바깥은 여름,김애란 저,문학동네,2017년 06월,10,14400,16000.0,800,61374,리뷰 총점9.2 정보 더 보기/감추기 종이책 리뷰 (247건) eBook 리뷰 (52건) 종이책 한줄평 (453건) eBook 한줄평 (183건),,2017,6,9.2,247.0,52.0,453.0,183.0,935.0
290,27643793,도서,종의 기원,정유정 저,은행나무,2016년 05월,10,15120,16800.0,840,37062,"리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (433건) eBook 리뷰 (53건) 종이책 한줄평 (1,402건) eBook 한줄평 (178건)",,2016,5,9.3,433.0,53.0,1402.0,178.0,2066.0
291,3248548,도서,책과 노니는 집,이영서 글/김동성 그림,문학동네,2009년 01월,10,11250,12500.0,620,33822,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (170건) eBook 리뷰 (0건) 종이책 한줄평 (182건) eBook 한줄평 (5건),,2009,1,9.6,170.0,0.0,182.0,5.0,357.0
292,192022446,도서,포트폴리오 설계 수업,임현우 저,21세기북스,2026년 06월,10,18000,20000.0,1000,10917,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (1건) eBook 리뷰 (0건) 종이책 한줄평 (0건) eBook 한줄평 (0건),,2026,6,10.0,1.0,0.0,0.0,0.0,1.0
293,191889475,도서,지적인 삶을 위한 열 가지 철학,오카모토 유이치로 저/곽현아 역,이든서재,2026년 07월,10,17820,19800.0,990,8394,,,2026,7,,0.0,0.0,0.0,0.0,0.0
294,191530271,도서,인간선언 Homo duduri,"김연수, 강화길, 김혜진, 박선우, 장강명 저 외 9명 정보 더 보기/감추기 김연수 강화길 김혜진 박선우 장강명 안태운 유선혜 육호수 이제니 배순탁 원소윤 김은경 소지예 이이오",서울국제도서전,2026년 06월,10,16200,18000.0,900,10263,,,2026,6,,0.0,0.0,0.0,0.0,0.0
295,189410198,도서,너무 진지하게 여기진 말아요,헤르만 헤세 저/배명자 역,피카(FIKA),2026년 05월,10,20700,23000.0,1150,9357,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (20건) eBook 리뷰 (0건) 종이책 한줄평 (4건) eBook 한줄평 (1건),,2026,5,9.7,20.0,0.0,4.0,1.0,25.0
296,192491691,도서,그리스 로마 신화 51,김정욱 글/최우빈 그림/강대진 감수,아울북,2026년 06월,10,15210,16900.0,840,2940,,,2026,6,,0.0,0.0,0.0,0.0,0.0
297,192469078,도서,재테크농부의 초과수익 투자,재테크농부 저,노티스,2026년 06월,10,20700,23000.0,1150,3360,,,2026,6,,0.0,0.0,0.0,0.0,0.0
298,191700786,도서,2026 2차 대비 김중근 형사법 파이널 모의고사 60일 작전,"김중근, 박병호 저",경찰단기김폴카,2026년 06월,10,27000,30000.0,300,8376,,,2026,6,,0.0,0.0,0.0,0.0,0.0
299,191481165,도서,나를 살리는 음식들,선재 스님 저,나무의마음,2026년 06월,10,20700,23000.0,1150,2424,,,2026,6,,0.0,0.0,0.0,0.0,0.0
300,190973546,도서,다판다 편의점 4,강효미 글/밤코 그림,다산어린이,2026년 06월,10,12600,14000.0,700,25482,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (18건) eBook 리뷰 (0건) 종이책 한줄평 (5건) eBook 한줄평 (0건),,2026,6,9.7,18.0,0.0,5.0,0.0,23.0
301,190823258,도서,빨간내복야코 안 읽으면 완전 위험한 과학책 5,"빨간내복야코 원저/박종은 글/이영아 그림/홍승범, 샌드박스 네트워크 감수",위즈덤하우스,2026년 06월,10,13500,15000.0,750,17199,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (17건) eBook 리뷰 (0건) 종이책 한줄평 (2건) eBook 한줄평 (0건),,2026,6,10.0,17.0,0.0,2.0,0.0,19.0
302,189520248,도서,히스토리아 비테이,최재천 저,지식서재,2026년 06월,10,21600,24000.0,1200,7368,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (8건) eBook 리뷰 (0건) 종이책 한줄평 (2건) eBook 한줄평 (0건),,2026,6,10.0,8.0,0.0,2.0,0.0,10.0
303,189211422,도서,클로드 코드로 시작하는 실전 에이전틱 코딩,Goos Kim 저,더 타이즈,2026년 05월,10,29700,33000.0,1650,25515,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (9건) eBook 리뷰 (0건) 종이책 한줄평 (2건) eBook 한줄평 (0건),,2026,5,10.0,9.0,0.0,2.0,0.0,11.0
304,189208565,도서,JLPT(일본어능력시험) 한권으로 끝내기 N5,"이치우, 이한나 저",다락원,2026년 05월,10,25200,28000.0,1400,9138,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (1건) eBook 리뷰 (0건) 종이책 한줄평 (0건) eBook 한줄평 (0건),,2026,5,10.0,1.0,0.0,0.0,0.0,1.0
305,188188554,도서,2027 이유진 국어 독해 알고리즘 기출 분석,이유진 편저,공단기(에스티유니타스),2026년 05월,10,17100,19000.0,190,9684,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (1건) eBook 리뷰 (0건) 종이책 한줄평 (2건) eBook 한줄평 (0건),,2026,5,10.0,1.0,0.0,2.0,0.0,3.0
306,186703949,도서,스페이스X 일론 머스크,에릭 버거 저/장용원 역/서성현 감수,상상스퀘어,2026년 04월,10,23400,26000.0,1300,26502,리뷰 총점7.6 정보 더 보기/감추기 종이책 리뷰 (3건) eBook 리뷰 (1건) 종이책 한줄평 (5건) eBook 한줄평 (1건),,2026,4,7.6,3.0,1.0,5.0,1.0,10.0
307,181861178,도서,500가지 건축으로 읽는 세계사,소피 콜린스 저/성소희 역/임석재 감수,현대지성,2026년 03월,10,22500,25000.0,1250,25542,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (35건) eBook 리뷰 (0건) 종이책 한줄평 (9건) eBook 한줄평 (1건),,2026,3,9.6,35.0,0.0,9.0,1.0,45.0
308,170525823,도서,2026 단기 합격 해커스공기업 NCS 통합 기본서(모듈형+피듈형+PSAT형+모의고사 6회분),"윤종혁, 김소원, 김태형, 복지훈, 최수지 저 외 2명 정보 더 보기/감추기 윤종혁 김소원 김태형 복지훈 최수지 김동민 해커스 취업교육연구소",해커스잡,2026년 01월,10,24300,27000.0,1350,45042,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (26건) eBook 리뷰 (0건) 종이책 한줄평 (5건) eBook 한줄평 (0건),,2026,1,9.9,26.0,0.0,5.0,0.0,31.0
309,167411357,도서,2026 EBS 물류관리사 단기완성,"전표훈, 변달수 편저",신지원,2026년 01월,10,36000,40000.0,2000,9372,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (10건) eBook 리뷰 (0건) 종이책 한줄평 (12건) eBook 한줄평 (0건),,2026,1,10.0,10.0,0.0,12.0,0.0,22.0
